"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"19",15,"","根来 新之助根来","SF/PF","02:28",2,1,2,"50.0%",0,1,"0.0%",0,0,"-",1,0,1,0,0,0,0,0,0,0,0,2,"2986","大阪"
"20",17,"","木下 博之木下","PG/SG","19:55",8,4,8,"50.0%",0,1,"0.0%",0,0,"-",1,0,1,7,2,2,0,1,2,1,0,12,"2986","大阪"
"21",20,"","合田 怜合田","PG/SG","22:18",11,4,8,"50.0%",3,5,"60.0%",0,0,"-",1,1,2,2,2,2,0,1,4,2,0,11,"2986","大阪"
"22",25,"〇","エグゼビア・ギブソンギブソン","PF/C","21:31",18,7,17,"41.2%",1,3,"33.3%",3,7,"42.9%",1,4,5,0,3,2,1,1,4,5,2,9,"2986","大阪"
"23",27,"〇","熊谷 尚也熊谷","SF/PF","17:42",2,1,5,"20.0%",0,1,"0.0%",0,2,"0.0%",0,0,0,0,2,0,1,1,4,3,1,-5,"2986","大阪"
"24",32,"〇","畠山 俊樹畠山","PG","20:05",3,1,3,"33.3%",0,1,"0.0%",1,1,"100.0%",0,7,7,3,0,4,0,0,2,1,0,15,"2986","大阪"
"25",55,"〇","ジョシュ・ハレルソンハレルソン","PF/C","33:15",13,4,9,"44.4%",2,3,"66.7%",3,4,"75.0%",2,7,9,2,1,2,3,0,1,5,0,22,"2986","大阪"
"26",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,1,3,0,1,0,0,0,0,0,0,2,"2986","大阪"
"27",NA,"","合計","","200:00",74,30,65,"46.2%",6,18,"33.3%",8,16,"50.0%",12,24,36,19,16,15,5,5,21,19,3,90,"2986","大阪"
"28",0,"","溝口 秀人溝口","SG","03:31",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,"2987","北海道"
"29",1,"","関野 剛平関野","SG/SF","20:21",10,4,6,"66.7%",2,3,"66.7%",0,0,"-",1,1,2,0,0,1,0,0,2,3,0,11,"2987","北海道"
"30",2,"","山本 柊輔山本","PG","01:45",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2987","北海道"
"31",8,"〇","多嶋 朝飛多嶋","PG","28:34",4,1,8,"12.5%",0,4,"0.0%",2,2,"100.0%",1,1,2,6,3,3,0,1,1,3,0,5,"2987","北海道"
"32",9,"","折茂 武彦折茂","SG","14:16",0,0,3,"0.0%",0,2,"0.0%",0,0,"-",0,1,1,1,0,0,0,0,1,0,0,-1,"2987","北海道"
"33",10,"","市岡 ショーン市岡","PF","09:47",2,1,2,"50.0%",0,0,"-",0,0,"-",1,2,3,0,0,1,1,0,4,1,0,6,"2987","北海道"
"34",11,"","桜井 良太桜井","SF","16:03",5,2,4,"50.0%",0,0,"-",1,2,"50.0%",1,0,1,0,1,1,0,1,4,1,0,3,"2987","北海道"
"35",13,"〇","デイビッド・ドブラスドブラス","C","26:20",13,4,11,"36.4%",0,0,"-",5,6,"83.3%",3,13,16,2,2,0,1,0,1,4,0,22,"2987","北海道"
"36",15,"〇","マーク・トラソリーニトラソリーニ","PF/C","30:41",25,11,20,"55.0%",2,6,"33.3%",1,1,"100.0%",4,6,10,3,1,0,3,0,0,2,1,31,"2987","北海道"
"37",17,"","川邉 亮平川邉","SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2987","北海道"
"38",23,"〇","野口 大介野口","PF","22:17",7,3,5,"60.0%",1,3,"33.3%",0,0,"-",1,2,3,1,4,0,3,0,1,1,0,8,"2987","北海道"
"39",32,"〇","松島 良豪松島","PG","26:25",4,2,4,"50.0%",0,0,"-",0,0,"-",2,2,4,7,5,3,0,0,3,2,0,11,"2987","北海道"
"40",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",3,5,8,0,2,0,0,0,0,0,0,6,"2987","北海道"
"41",NA,"","合計","","200:00",70,28,63,"44.4%",5,18,"27.8%",9,11,"81.8%",17,33,50,20,18,9,8,2,18,17,1,102,"2987","北海道"
"42",1,"〇","今野 翔太今野","SF","16:20",0,0,2,"0.0%",0,0,"-",0,0,"-",0,0,0,0,1,0,0,0,3,3,0,-3,"2987","大阪"
"43",2,"","長野 誠史長野","PG","00:37",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,"2987","大阪"
"44",3,"","藤高 宗一郎藤高","SF","19:05",5,1,3,"33.3%",0,1,"0.0%",3,4,"75.0%",1,2,3,2,1,0,0,1,2,2,1,6,"2987","大阪"
"45",10,"〇","ファイ・パプ月瑠パプ月瑠","PF/C","36:11",11,4,12,"33.3%",0,0,"-",3,6,"50.0%",2,3,5,1,1,1,1,2,1,4,0,7,"2987","大阪"
"46",15,"","根来 新之助根来","SF/PF","09:30",2,1,4,"25.0%",0,1,"0.0%",0,1,"0.0%",2,1,3,0,1,1,0,1,0,1,0,1,"2987","大阪"
"47",17,"","木下 博之木下","PG/SG","16:55",7,3,6,"50.0%",1,2,"50.0%",0,0,"-",0,2,2,5,4,2,0,0,1,1,0,9,"2987","大阪"
"48",20,"","合田 怜合田","PG/SG","23:40",3,1,3,"33.3%",1,3,"33.3%",0,0,"-",0,0,0,2,0,0,0,0,2,0,0,3,"2987","大阪"
"49",25,"","エグゼビア・ギブソンギブソン","PF/C","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2987","大阪"
"50",27,"〇","熊谷 尚也熊谷","SF/PF","20:55",1,0,9,"0.0%",0,2,"0.0%",1,2,"50.0%",3,0,3,0,1,0,0,1,0,1,0,-7,"2987","大阪"
"51",32,"〇","畠山 俊樹畠山","PG","22:28",9,3,5,"60.0%",0,0,"-",3,4,"75.0%",0,1,1,2,2,0,0,0,3,2,0,7,"2987","大阪"
"52",55,"〇","ジョシュ・ハレルソンハレルソン","PF/C","34:19",15,6,18,"33.3%",1,5,"20.0%",2,3,"66.7%",1,7,8,1,0,1,1,3,4,3,0,13,"2987","大阪"
"53",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",4,3,7,0,2,0,0,0,0,0,0,5,"2987","大阪"
"54",NA,"","合計","","200:00",53,19,62,"30.6%",3,14,"21.4%",12,20,"60.0%",13,19,32,13,13,5,2,8,17,17,1,41,"2987","大阪"
"55",0,"","満原 優樹満原","PF/C","12:11",2,1,2,"50.0%",0,0,"-",0,0,"-",1,4,5,0,5,2,0,0,3,0,0,3,"3008","SR渋谷"
"56",1,"","清水 太志郎清水","PG/SG","02:59",3,1,2,"50.0%",1,1,"100.0%",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,2,"3008","SR渋谷"
"57",2,"","秋葉 真司秋葉","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3008","SR渋谷"
"58",3,"","ファイ サンバファイ","C","13:04",6,3,8,"37.5%",0,0,"-",0,0,"-",3,1,4,1,0,1,0,1,1,0,1,7,"3008","SR渋谷"
"59",6,"〇","ロバート・サクレサクレ","C","29:51",19,8,17,"47.1%",0,0,"-",3,3,"100.0%",5,3,8,0,0,3,1,0,2,4,2,22,"3008","SR渋谷"
"60",7,"","伊藤 駿伊藤","PG","17:33",0,0,4,"0.0%",0,1,"0.0%",0,0,"-",2,1,3,2,0,2,0,0,1,0,0,3,"3008","SR渋谷"
"61",9,"〇","ベンドラメ 礼生ベンドラメ","PG","24:10",9,4,8,"50.0%",1,3,"33.3%",0,0,"-",0,1,1,3,1,1,0,0,3,2,0,9,"3008","SR渋谷"
"62",14,"〇","杉浦 佑成杉浦","SF","17:25",0,0,4,"0.0%",0,3,"0.0%",0,0,"-",0,0,0,0,0,1,0,0,2,0,0,-3,"3008","SR渋谷"
"63",22,"","長谷川 智也長谷川","SG","12:10",3,1,4,"25.0%",1,4,"25.0%",0,0,"-",0,0,0,1,1,0,0,0,0,0,0,0,"3008","SR渋谷"
"64",24,"〇","広瀬 健太広瀬","SF","24:55",4,2,6,"33.3%",0,4,"0.0%",0,0,"-",1,0,1,2,1,4,0,0,1,1,0,6,"3008","SR渋谷"
"65",32,"","山内 盛久山内","PG/SG","15:44",3,1,5,"20.0%",1,4,"25.0%",0,0,"-",3,1,4,1,0,0,0,0,3,0,0,4,"3008","SR渋谷"
"66",34,"〇","ライアン・ケリーケリー","SF/PF","29:58",18,4,11,"36.4%",0,0,"-",10,12,"83.3%",0,7,7,3,0,0,0,0,4,9,2,19,"3008","SR渋谷"
"67",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",3,5,8,0,0,0,0,0,0,0,0,8,"3008","SR渋谷"
"68",NA,"","合計","","200:00",67,25,71,"35.2%",4,20,"20.0%",13,15,"86.7%",18,23,41,13,8,14,1,1,20,16,5,80,"3008","SR渋谷"
"69",0,"","溝口 秀人溝口","SG","02:20",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3008","北海道"
"70",1,"","関野 剛平関野","SG/SF","08:24",0,0,4,"0.0%",0,3,"0.0%",0,0,"-",0,3,3,0,0,0,0,0,0,1,0,-1,"3008","北海道"
"71",2,"","山本 柊輔山本","PG","00:55",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,1,0,0,0,0,1,0,-1,"3008","北海道"
"72",8,"〇","多嶋 朝飛多嶋","PG","25:10",12,5,8,"62.5%",2,4,"50.0%",0,1,"0.0%",0,3,3,3,1,1,0,0,1,0,0,14,"3008","北海道"
"73",9,"","折茂 武彦折茂","SG","16:13",2,1,6,"16.7%",0,0,"-",0,0,"-",0,0,0,0,2,1,0,0,1,0,0,-4,"3008","北海道"
"74",10,"","市岡 ショーン市岡","PF","14:21",2,1,2,"50.0%",0,0,"-",0,0,"-",1,3,4,1,0,0,0,0,2,1,0,6,"3008","北海道"
"75",11,"〇","桜井 良太桜井","SF","21:45",2,0,2,"0.0%",0,1,"0.0%",2,2,"100.0%",0,2,2,4,0,2,0,0,2,4,0,8,"3008","北海道"
"76",13,"〇","デイビッド・ドブラスドブラス","C","24:12",10,4,7,"57.1%",1,1,"100.0%",1,2,"50.0%",2,5,7,1,6,0,0,1,5,3,0,8,"3008","北海道"
"77",15,"〇","マーク・トラソリーニトラソリーニ","PF/C","34:24",27,11,17,"64.7%",2,2,"100.0%",3,4,"75.0%",1,5,6,1,2,0,1,0,4,2,0,26,"3008","北海道"
"78",17,"","川邉 亮平川邉","SF","03:36",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",0,1,1,0,0,0,0,0,0,0,0,0,"3008","北海道"
"79",23,"","野口 大介野口","PF","18:19",6,2,3,"66.7%",1,1,"100.0%",1,3,"33.3%",0,6,6,1,2,0,0,0,1,3,0,8,"3008","北海道"
"80",32,"〇","松島 良豪松島","PG","30:21",5,2,4,"50.0%",1,1,"100.0%",0,2,"0.0%",1,0,1,4,3,2,0,0,1,4,0,5,"3008","北海道"
"81",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",4,1,5,0,0,0,0,0,0,0,0,5,"3008","北海道"
"82",NA,"","合計","","200:00",66,26,54,"48.1%",7,14,"50.0%",7,14,"50.0%",9,29,38,15,17,6,1,1,17,19,0,74,"3008","北海道"
"83",0,"","満原 優樹満原","PF/C","17:15",4,2,5,"40.0%",0,3,"0.0%",0,1,"0.0%",2,3,5,0,0,0,0,0,2,1,0,5,"3009","SR渋谷"
"84",1,"","清水 太志郎清水","PG/SG","04:29",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3009","SR渋谷"
"85",2,"","秋葉 真司秋葉","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3009","SR渋谷"
"86",3,"","ファイ サンバファイ","C","11:03",4,1,4,"25.0%",0,1,"0.0%",2,2,"100.0%",3,2,5,0,1,0,0,0,4,1,0,5,"3009","SR渋谷"
"87",6,"〇","ロバート・サクレサクレ","C","33:12",21,8,14,"57.1%",0,1,"0.0%",5,6,"83.3%",3,7,10,3,1,0,2,0,3,3,0,28,"3009","SR渋谷"
"88",7,"","伊藤 駿伊藤","PG","11:17",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,1,0,0,0,0,0,0,-1,"3009","SR渋谷"
"89",9,"〇","ベンドラメ 礼生ベンドラメ","PG","32:02",3,1,6,"16.7%",0,2,"0.0%",1,4,"25.0%",1,2,3,3,6,1,0,0,3,3,0,-4,"3009","SR渋谷"
"90",14,"〇","杉浦 佑成杉浦","SF","16:58",11,4,7,"57.1%",3,6,"50.0%",0,0,"-",0,1,1,2,2,1,0,0,3,0,0,10,"3009","SR渋谷"
"91",22,"","長谷川 智也長谷川","SG","07:54",0,0,8,"0.0%",0,4,"0.0%",0,0,"-",0,0,0,0,0,0,0,1,1,2,0,-8,"3009","SR渋谷"
"92",24,"〇","広瀬 健太広瀬","SF","21:21",2,1,2,"50.0%",0,1,"0.0%",0,0,"-",0,1,1,3,1,0,1,0,3,0,0,5,"3009","SR渋谷"
"93",32,"","山内 盛久山内","PG/SG","15:05",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",1,0,1,4,0,0,0,0,1,1,0,3,"3009","SR渋谷"
"94",34,"〇","ライアン・ケリーケリー","SF/PF","29:24",12,5,16,"31.3%",1,4,"25.0%",1,1,"100.0%",3,9,12,3,0,0,0,1,4,6,1,16,"3009","SR渋谷"
"95",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,2,2,0,1,0,0,0,0,0,0,1,"3009","SR渋谷"
"96",NA,"","合計","","200:00",57,22,64,"34.4%",4,23,"17.4%",9,14,"64.3%",13,27,40,18,13,2,3,2,24,17,1,60,"3009","SR渋谷"
"97",0,"","溝口 秀人溝口","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3009","北海道"
"98",1,"","関野 剛平関野","SG/SF","08:02",3,1,4,"25.0%",0,1,"0.0%",1,2,"50.0%",0,0,0,0,0,0,0,0,0,1,0,-1,"3009","北海道"
"99",2,"","山本 柊輔山本","PG","05:06",0,0,1,"0.0%",0,0,"-",0,0,"-",0,0,0,2,0,0,0,1,1,0,0,1,"3009","北海道"
"100",8,"〇","多嶋 朝飛多嶋","PG","28:08",11,4,8,"50.0%",1,3,"33.3%",2,2,"100.0%",0,5,5,6,1,0,0,0,2,2,0,17,"3009","北海道"
"101",9,"","折茂 武彦折茂","SG","11:42",2,1,4,"25.0%",0,0,"-",0,0,"-",0,0,0,1,0,2,0,0,1,1,0,2,"3009","北海道"
"102",10,"","市岡 ショーン市岡","PF","11:33",0,0,1,"0.0%",0,0,"-",0,0,"-",2,4,6,0,1,1,0,0,4,1,0,5,"3009","北海道"
"103",11,"〇","桜井 良太桜井","SF","26:13",6,2,2,"100.0%",0,0,"-",2,4,"50.0%",2,3,5,3,2,1,0,0,3,4,0,11,"3009","北海道"
"104",13,"〇","デイビッド・ドブラスドブラス","C","26:30",21,9,16,"56.3%",0,1,"0.0%",3,6,"50.0%",2,6,8,1,2,0,0,1,2,5,1,18,"3009","北海道"
"105",15,"〇","マーク・トラソリーニトラソリーニ","PF/C","32:32",23,7,17,"41.2%",2,6,"33.3%",7,8,"87.5%",4,5,9,4,0,3,2,0,1,7,1,30,"3009","北海道"
"106",17,"","川邉 亮平川邉","SF","16:20",6,2,3,"66.7%",0,0,"-",2,2,"100.0%",2,1,3,1,0,1,0,1,1,1,0,10,"3009","北海道"
"107",23,"","野口 大介野口","PF","09:25",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,2,0,0,0,0,1,0,0,1,"3009","北海道"
"108",32,"〇","松島 良豪松島","PG","24:29",4,1,7,"14.3%",0,1,"0.0%",2,2,"100.0%",0,1,1,2,1,0,0,0,1,2,0,0,"3009","北海道"
"109",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,5,7,0,0,0,0,0,0,0,0,7,"3009","北海道"
"110",NA,"","合計","","200:00",76,27,64,"42.2%",3,13,"23.1%",19,26,"73.1%",14,30,44,22,7,8,2,3,17,24,2,101,"3009","北海道"
"111",0,"","溝口 秀人溝口","SG","03:51",3,1,2,"50.0%",1,2,"50.0%",0,0,"-",0,0,0,0,1,0,0,1,1,1,0,1,"3022","北海道"
"112",1,"","関野 剛平関野","SG/SF","12:45",0,0,4,"0.0%",0,3,"0.0%",0,0,"-",0,3,3,0,2,0,0,1,0,0,0,-3,"3022","北海道"
"113",2,"","山本 柊輔山本","PG","03:02",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,"3022","北海道"
"114",8,"〇","多嶋 朝飛多嶋","PG","13:36",0,0,6,"0.0%",0,3,"0.0%",0,0,"-",0,1,1,2,0,0,0,1,2,0,0,-3,"3022","北海道"
"115",9,"","折茂 武彦折茂","SG","23:03",12,4,12,"33.3%",2,4,"50.0%",2,2,"100.0%",0,0,0,1,1,0,0,0,1,3,0,4,"3022","北海道"
"116",10,"","市岡 ショーン市岡","PF","12:13",3,1,1,"100.0%",0,0,"-",1,2,"50.0%",1,1,2,1,1,1,0,0,5,1,0,5,"3022","北海道"
"117",11,"〇","桜井 良太桜井","SF","34:39",6,2,6,"33.3%",0,1,"0.0%",2,2,"100.0%",1,2,3,5,0,3,0,0,4,2,0,13,"3022","北海道"
"118",13,"〇","デイビッド・ドブラスドブラス","C","25:32",11,5,7,"71.4%",0,0,"-",1,4,"25.0%",4,7,11,0,3,0,0,0,4,6,0,14,"3022","北海道"
"119",15,"〇","マーク・トラソリーニトラソリーニ","PF/C","30:08",12,5,14,"35.7%",0,3,"0.0%",2,2,"100.0%",2,8,10,2,2,2,0,0,4,1,3,15,"3022","北海道"
"120",17,"","川邉 亮平川邉","SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3022","北海道"
"121",23,"","野口 大介野口","PF","12:07",5,2,6,"33.3%",1,4,"25.0%",0,0,"-",0,0,0,0,0,1,0,0,1,0,0,2,"3022","北海道"
"122",32,"〇","松島 良豪松島","PG","29:04",11,5,11,"45.5%",0,0,"-",1,1,"100.0%",0,1,1,6,2,3,0,0,3,2,0,13,"3022","北海道"
"123",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",1,2,3,0,1,0,0,0,0,0,0,2,"3022","北海道"
"124",NA,"","合計","","200:00",63,25,69,"36.2%",4,20,"20.0%",9,13,"69.2%",9,25,34,17,13,10,0,3,26,16,3,63,"3022","北海道"
"125",1,"","ジョシュ・ダンカンダンカン","PF","21:47",21,6,8,"75.0%",1,1,"100.0%",8,9,"88.9%",1,3,4,0,3,0,0,0,4,7,0,19,"3022","千葉"
"126",2,"〇","富樫 勇樹富樫","PG","29:36",7,3,8,"37.5%",1,3,"33.3%",0,0,"-",0,2,2,8,3,2,0,0,2,2,0,11,"3022","千葉"
"127",3,"〇","マイケル・パーカーパーカー","PF","34:30",30,13,15,"86.7%",1,2,"50.0%",3,6,"50.0%",7,9,16,3,1,4,3,0,1,3,2,50,"3022","千葉"
"128",5,"","田口 成浩田口","SG","17:06",7,3,8,"37.5%",1,5,"20.0%",0,0,"-",1,0,1,2,0,0,0,0,1,1,0,5,"3022","千葉"
"129",8,"","大宮 宏正大宮","PF","02:36",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3022","千葉"
"130",10,"","アキ・チェンバースチェンバース","SF","21:30",6,1,5,"20.0%",1,1,"100.0%",3,4,"75.0%",1,2,3,1,2,0,0,0,2,4,0,3,"3022","千葉"
"131",11,"","西村 文男西村","PG","07:29",0,0,1,"0.0%",0,0,"-",0,0,"-",0,1,1,4,1,0,0,0,0,2,0,3,"3022","千葉"
"132",15,"","藤永 佳昭藤永","PG","02:55",2,1,2,"50.0%",0,1,"0.0%",0,0,"-",0,0,0,1,0,0,0,0,0,0,0,2,"3022","千葉"
"133",21,"〇","ギャビン・エドワーズエドワーズ","PF","21:07",12,4,8,"50.0%",1,2,"50.0%",3,7,"42.9%",0,8,8,5,3,0,0,0,2,7,1,14,"3022","千葉"
"134",27,"〇","石井 講祐石井","SG","22:54",6,2,3,"66.7%",2,3,"66.7%",0,0,"-",0,2,2,5,0,1,0,0,2,0,0,13,"3022","千葉"
"135",31,"","原 修太原","SG/SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3022","千葉"
"136",34,"〇","小野 龍猛小野","SF/PF","18:30",2,1,5,"20.0%",0,2,"0.0%",0,0,"-",0,2,2,1,2,0,0,0,2,0,0,-1,"3022","千葉"
"137",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,7,7,0,0,0,0,0,0,0,0,7,"3022","千葉"
"138",NA,"","合計","","200:00",93,34,63,"54.0%",8,20,"40.0%",17,26,"65.4%",10,36,46,30,15,7,3,0,16,26,3,126,"3022","千葉"
"139",0,"〇","田臥 勇太田臥","PG","15:56",0,0,2,"0.0%",0,0,"-",0,0,"-",0,0,0,1,1,1,0,0,0,1,0,-1,"3033","栃木"
"140",9,"〇","遠藤 祐亮遠藤","PG/SG","20:05",8,3,8,"37.5%",1,3,"33.3%",1,2,"50.0%",0,2,2,2,1,1,0,0,4,3,0,6,"3033","栃木"
"141",10,"","竹内 公輔竹内","PF/C","27:51",9,3,6,"50.0%",0,1,"0.0%",3,4,"75.0%",2,3,5,1,1,0,1,0,1,2,0,11,"3033","栃木"
"142",11,"","田原 隆徳田原","SG","01:36",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,"3033","栃木"
"143",12,"〇","アンドリュー・ネイミックネイミック","C","15:10",2,1,1,"100.0%",0,0,"-",0,0,"-",0,2,2,0,2,0,1,0,4,0,1,3,"3033","栃木"
"144",13,"","渡邉 裕規渡邉","PG","22:43",2,1,6,"16.7%",0,1,"0.0%",0,0,"-",1,2,3,4,0,0,0,0,2,0,0,4,"3033","栃木"
"145",18,"","鵤 誠司鵤","PG","21:34",5,2,8,"25.0%",0,1,"0.0%",1,1,"100.0%",0,4,4,2,0,1,0,1,0,2,0,6,"3033","栃木"
"146",21,"","橋本 晃佑橋本","PF/C","13:47",4,0,0,"-",0,0,"-",4,4,"100.0%",1,1,2,0,0,0,1,0,0,2,0,7,"3033","栃木"
"147",22,"〇","ライアン・ロシターロシター","PF/C","33:29",37,12,25,"48.0%",3,5,"60.0%",10,14,"71.4%",4,10,14,3,2,1,1,0,2,12,0,37,"3033","栃木"
"148",24,"〇","栗原 貴宏栗原","SF","11:30",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",1,0,1,0,0,0,0,0,3,0,0,0,"3033","栃木"
"149",25,"","エリック・ロバーツロバーツ","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3033","栃木"
"150",30,"","山崎 稜山崎","SG","16:19",3,1,4,"25.0%",1,2,"50.0%",0,0,"-",0,0,0,0,1,0,0,0,0,0,0,-1,"3033","栃木"
"151",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",4,1,5,0,1,0,0,0,0,0,0,4,"3033","栃木"
"152",NA,"","合計","","200:00",70,23,61,"37.7%",5,14,"35.7%",19,25,"76.0%",13,25,38,13,9,4,4,1,17,22,1,76,"3033","栃木"
"153",0,"","溝口 秀人溝口","SG","07:36",6,2,3,"66.7%",2,3,"66.7%",0,0,"-",0,1,1,0,0,0,0,0,2,0,0,6,"3033","北海道"
"154",1,"","関野 剛平関野","SG/SF","11:15",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",1,0,1,2,0,0,0,0,0,1,0,1,"3033","北海道"
"155",2,"","山本 柊輔山本","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3033","北海道"
"156",8,"〇","多嶋 朝飛多嶋","PG","35:08",11,5,9,"55.6%",1,3,"33.3%",0,0,"-",0,3,3,6,1,1,0,0,3,2,0,16,"3033","北海道"
