"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"1","12","13","21","22","68","25","49","51%","2","14","14.3%","12","15","80%","13","26","39","16","20","7","5","20","8","2","44","20","14","8-0(56-62)","16","20","19","19","74","24","47","51.1%","6","18","33.3%","8","16","50%","12","24","36","19","16","15","5","21","10","14","38","20","15","8-0(12-18)",1,"10.06","2986","ñkäCìπ","ëÂç„",TRUE,FALSE,0,0,0,0,0,0
"2","14","19","25","12","70","23","45","51.1%","5","18","27.8%","9","11","81.8%","17","33","50","20","18","9","8","18","8","17","40","14","14","13-0(33-22)","13","16","15","9","53","16","48","33.3%","3","14","21.4%","12","20","60%","13","19","32","13","13","5","2","17","2","3","30","12","10","9-0(33-31)",2,"10.07","2987","ñkäCìπ","ëÂç„",TRUE,FALSE,0,0,0,0,0,0
"3","9","16","21","20","66","19","40","47.5%","7","14","50%","7","14","50%","9","29","38","15","17","6","1","17","2","2","26","6","13","10-0(52-50)","19","16","17","15","67","21","51","41.2%","4","20","20%","13","15","86.7%","18","23","41","13","8","14","1","20","4","17","32","23","14","8-0(38-25)",3,"10.13","3008","ñkäCìπ","SRèaíJ",FALSE,TRUE,0,0,0,0,0,0
"4","18","23","18","17","76","24","51","47.1%","3","13","23.1%","19","26","73.1%","14","30","44","22","7","8","2","17","6","20","40","14","10","13-0(16-20)","16","14","16","11","57","18","41","43.9%","4","23","17.4%","9","14","64.3%","13","27","40","18","13","2","3","24","2","9","22","2","6","9-0(16-7)",4,"10.14","3009","ñkäCìπ","SRèaíJ",FALSE,TRUE,0,0,0,0,0,0
"5","13","16","17","17","63","21","49","42.9%","4","20","20%","9","13","69.2%","9","25","34","17","13","10","0","26","16","4","38","19","12","8-0(19-23)","23","18","22","30","93","26","43","60.5%","8","20","40%","17","26","65.4%","10","36","46","30","15","7","3","16","13","30","42","10","12","11-0(23-41)",5,"10.17","3022","ñkäCìπ","êÁót",TRUE,FALSE,0,0,0,0,0,0
"6","22","17","12","21","72","24","46","52.2%","5","19","26.3%","9","11","81.8%","11","24","35","19","7","2","1","22","5","7","38","14","13","11-0(8-13)","15","18","24","13","70","18","47","38.3%","5","14","35.7%","19","25","76%","13","25","38","13","9","4","4","17","8","10","36","6","6","10-0(61-51)",6,"10.20","3033","ñkäCìπ","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"7","18","16","24","12","70","22","42","52.4%","7","15","46.7%","5","6","83.3%","6","25","31","25","16","3","2","26","2","4","32","10","7","7-0(50-54)","18","21","18","22","79","20","43","46.5%","6","21","28.6%","21","32","65.6%","17","19","36","21","9","9","4","10","10","9","28","16","18","11-0(79-70)",7,"10.21","3034","ñkäCìπ","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"8","18","5","20","24","67","21","48","43.8%","4","14","28.6%","13","22","59.1%","10","23","33","17","14","10","3","30","12","3","34","16","14","6-0(18-18)","18","17","20","29","84","25","35","71.4%","5","17","29.4%","19","29","65.5%","5","28","33","25","15","7","2","22","13","21","46","12","5","12-0(7-16)",1,"10.06","2988","èHìc","óÆãÖ",TRUE,FALSE,0,0,0,0,0,0
"9","17","10","20","19","66","11","28","39.3%","11","35","31.4%","11","17","64.7%","14","26","40","19","17","6","6","28","5","7","20","16","18","6-0(13-6)","17","24","19","11","71","13","32","40.6%","8","27","29.6%","21","28","75%","15","30","45","15","13","10","4","22","7","16","22","13","12","12-0(17-28)",2,"10.07","2989","èHìc","óÆãÖ",TRUE,FALSE,0,0,0,0,0,0
"10","17","16","17","24","74","20","45","44.4%","5","17","29.4%","19","29","65.5%","17","23","40","18","18","6","2","32","8","0","32","16","20","6-0(33-24)","28","13","24","19","84","23","43","53.5%","4","20","20%","26","35","74.3%","18","25","43","17","16","11","5","25","20","17","46","19","13","10-0(54-38)",3,"10.11","3012","èHìc","êVäÉ",FALSE,TRUE,0,0,0,0,0,0
"11","18","18","28","28","92","21","46","45.7%","8","21","38.1%","26","28","92.9%","13","19","32","18","12","11","3","31","12","2","34","20","13","7-0(16-15)","24","28","21","31","104","26","36","72.2%","8","23","34.8%","28","36","77.8%","8","25","33","29","16","7","3","23","11","16","46","10","8","7-0(14-6)",4,"10.12","3013","èHìc","êVäÉ",FALSE,TRUE,0,0,0,0,0,0
"12","20","16","10","17","63","20","48","41.7%","3","14","21.4%","14","21","66.7%","15","27","42","10","16","12","4","17","5","13","40","14","18","10-0(23-36)","19","5","20","14","58","14","39","35.9%","6","18","33.3%","12","18","66.7%","11","25","36","15","18","10","4","18","6","3","22","16","9","9-0(32-36)",5,"10.17","3024","èHìc","SRèaíJ",FALSE,TRUE,0,0,0,0,0,0
